index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
24816,41650860,0,0,1,1,1,1,1,1,0,1,1,0,1,1,10
24817,41593788,1,0,1,1,1,1,1,0,0,1,1,1,1,1,12
24818,41585740,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
24819,41585426,1,0,0,1,1,1,1,1,0,1,0,1,0,1,14
24820,41567095,1,0,1,1,1,1,1,0,0,1,1,1,1,1,17
24821,41538938,0,0,1,1,1,1,1,0,0,0,1,1,1,1,19
24822,41418644,1,0,1,1,1,1,1,0,0,1,1,1,1,1,22
24823,41405479,1,0,1,1,1,1,1,0,0,1,1,0,0,1,17
24824,41400061,0,0,1,1,1,1,1,0,0,1,1,1,1,1,23
24825,41398742,0,0,0,1,1,1,1,0,0,1,0,1,1,1,10
24826,41345597,1,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24827,41338869,0,0,1,1,1,1,1,1,0,0,1,1,0,1,9
24828,41235558,0,0,1,1,1,1,1,0,0,1,1,0,0,1,23
24829,41201361,0,0,1,1,1,1,1,1,0,1,1,0,1,1,12
24830,41198709,0,0,1,1,1,1,1,1,0,1,1,1,0,1,16
24831,41189487,0,0,1,1,1,1,1,1,0,1,1,1,1,1,6
24832,41171335,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2
24833,41147522,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3
24834,41124288,0,0,1,1,1,1,1,0,0,0,1,1,1,1,10
24835,40713098,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3
24836,41070448,1,0,1,1,1,1,1,1,0,1,1,0,0,1,28
24837,40993870,1,0,1,1,1,1,1,1,0,1,1,1,0,1,2
24838,40987180,1,0,1,1,1,1,1,0,0,1,1,1,1,1,6
24839,40976997,1,0,1,1,1,1,1,0,0,1,1,1,1,1,30
24840,40968677,1,0,1,1,1,1,1,0,0,1,1,1,1,1,5
24841,40921205,1,0,1,1,1,1,1,0,0,1,1,1,1,1,5
24842,40881912,1,0,1,1,1,1,1,1,0,1,1,1,1,1,15
24843,40862463,0,0,1,1,1,1,1,0,1,1,1,0,0,1,29
24844,40832638,0,0,1,1,1,1,1,0,1,1,1,1,1,1,12
24845,40812987,0,0,1,1,1,1,1,1,0,1,1,1,1,1,14
24846,40796885,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
24847,40759041,0,0,1,1,1,1,1,1,1,1,1,1,1,1,30
24848,40755976,1,0,1,1,1,1,1,1,0,1,1,1,1,1,9
24849,40755965,0,0,0,1,1,1,1,1,0,1,0,1,0,1,7
24850,40755966,1,0,1,1,1,1,1,1,0,1,1,1,0,1,10
24851,40704826,0,0,0,1,1,1,1,0,0,1,0,1,1,1,17
24852,40704267,0,0,0,1,1,1,1,0,1,1,0,1,1,1,3
24853,40563136,1,0,0,1,1,1,1,0,0,1,0,0,0,1,22
24854,40339940,1,0,1,1,1,1,1,1,0,1,1,1,1,1,9
24855,40246943,1,0,1,1,1,1,1,0,0,1,1,1,1,1,6
24856,40092289,0,0,1,1,1,1,1,1,0,1,1,1,0,1,10
24857,40053569,1,0,0,1,1,1,1,1,0,1,0,0,1,1,22
24858,39974250,1,0,1,1,1,1,1,0,0,1,1,0,1,1,10
24859,39964427,1,0,1,1,1,1,1,1,0,1,1,1,1,1,17
24860,39948672,1,0,1,1,1,1,1,0,0,1,1,0,1,1,4
24861,39821319,1,0,0,1,1,1,1,1,0,1,0,0,1,1,4
24862,39821284,1,0,0,1,1,1,1,0,0,1,0,1,1,1,19
24863,39820713,1,0,0,1,1,1,1,0,0,1,0,1,1,1,2
24864,39802373,1,0,0,1,1,1,1,0,0,1,0,0,0,1,2
24865,39786811,1,0,1,1,1,1,1,1,0,1,1,1,1,1,21
24866,39710566,1,0,0,1,1,1,1,0,0,1,0,1,1,1,27
24867,39700235,0,0,1,1,1,1,1,1,0,1,1,1,1,1,30
24868,39698738,1,0,1,1,1,1,1,0,0,0,1,1,1,1,20
24869,39693648,1,0,1,1,1,1,1,1,0,1,1,1,1,1,17
24870,39689494,0,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24871,39689489,0,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24872,39686343,0,0,1,1,1,1,1,1,0,1,1,1,1,1,22
24873,39678984,1,0,1,1,1,1,1,0,0,1,1,1,1,1,23
24874,39667222,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
